rank,name,position,team,games,minutes,off_rpm,def_rpm,rpm,wins,year
1,Stephen Curry,PG,GS,69,33.8,8.58,-0.97,7.60,15.69,2019
3,James Harden,SG,HOU,78,36.8,5.75,0.93,6.68,16.10,2019
5,Kyle Lowry,PG,TOR,65,34.0,5.79,0.09,5.88,11.89,2019
7,Kyrie Irving,PG,BOS,67,33.0,5.21,-0.25,4.96,10.19,2019
9,Aaron Holiday,G,IND,50,12.9,1.62,2.37,3.99,2.33,2019
11,Eric Bledsoe,SG,MIL,78,29.1,3.38,0.32,3.70,8.36,2019
13,Lou Williams,SG,LAC,75,26.6,3.58,0.05,3.63,6.54,2019
15,Damian Lillard,PG,POR,80,35.5,3.52,-0.02,3.50,9.76,2019
17,Mike Conley,PG,MEM,70,33.5,1.84,1.54,3.38,7.64,2019
19,Kevin Love,PF,CLE,22,27.2,2.82,0.27,3.08,1.87,2019
21,Rudy Gobert,C,UTAH,81,31.8,0.06,2.74,2.80,7.70,2019
23,Kevin Durant,PF,GS,78,34.6,4.14,-1.64,2.50,7.45,2019
25,Brad Wanamaker,PG,BOS,36,9.5,0.97,1.51,2.48,0.83,2019
27,Victor Oladipo,SG,IND,36,31.9,2.18,0.26,2.44,3.06,2019
29,D'Angelo Russell,PG,BKN,81,30.2,4.62,-2.20,2.42,6.90,2019
31,Klay Thompson,SG,GS,78,34.0,2.07,0.33,2.39,7.07,2019
33,Al Horford,C,BOS,68,29.0,1.05,1.29,2.34,5.18,2019
35,Montrezl Harrell,C,LAC,82,26.3,0.34,1.69,2.03,4.83,2019
37,Joe Ingles,SG,UTAH,82,31.3,0.88,1.12,2.00,6.03,2019
39,Nikola Vucevic,C,ORL,80,31.4,0.81,1.11,1.92,5.80,2019
2,LeBron James,SF,LAL,55,35.2,6.33,0.45,6.78,11.71,2019
4,Giannis Antetokounmpo,PF,MIL,72,32.8,4.67,1.44,6.12,12.87,2019
6,Paul George,F,OKC,77,36.9,4.37,1.43,5.80,15.02,2019
8,Jrue Holiday,PG,NO,67,35.9,3.81,0.91,4.72,10.74,2019
10,Pascal Siakam,PF,TOR,80,31.9,1.29,2.46,3.75,9.44,2019
12,Russell Westbrook,PG,OKC,73,36.0,5.68,-2.00,3.68,9.86,2019
14,Nikola Jokic,C,DEN,80,31.3,4.03,-0.44,3.58,8.74,2019
16,Bradley Beal,SG,WSH,82,36.9,4.32,-0.83,3.49,10.78,2019
18,De'Aaron Fox,PG,SAC,81,31.4,4.24,-0.91,3.34,8.92,2019
20,Anthony Davis,PF,NO,56,33.0,3.11,-0.15,2.96,5.87,2019
22,Kemba Walker,PG,CHA,82,34.9,2.43,0.37,2.79,8.33,2019
24,Chris Paul,PG,HOU,58,32.0,1.33,1.16,2.49,4.97,2019
26,JJ Redick,SG,PHI,76,31.3,2.44,0.00,2.44,6.48,2019
28,Marc Gasol,C,MEM/TOR,79,30.8,-0.21,2.63,2.42,6.24,2019
30,J.J. Barea,G,DAL,38,19.8,2.76,-0.36,2.40,2.01,2019
32,Buddy Hield,SG,SAC,82,31.9,3.74,-1.38,2.36,7.20,2019
34,Monte Morris,PG,DEN,82,24.0,-0.27,2.41,2.14,4.52,2019
36,Gary Harris,SG,DEN,57,28.8,-0.53,2.54,2.01,3.83,2019
38,Karl-Anthony Towns,C,MIN,77,33.1,1.66,0.32,1.98,5.98,2019
40,RJ Hunter,G,BOS,1,26.0,0.39,1.50,1.89,0.06,2019
41,Blake Griffin,PF,DET,75,35.0,1.35,0.49,1.85,5.85,2019
43,Joel Embiid,C,PHI,64,33.7,1.90,-0.10,1.80,5.05,2019
45,Jodie Meeks,G,TOR,8,13.0,0.78,1.00,1.78,0.21,2019
47,Bojan Bogdanovic,SF,IND,81,31.8,1.13,0.63,1.76,5.59,2019
49,Raul Neto,PG,UTAH,37,12.8,0.04,1.67,1.71,0.96,2019
51,Jusuf Nurkic,C,POR,72,27.4,0.39,1.24,1.63,4.21,2019
53,Derrick Rose,PG,MIN,51,27.3,2.03,-0.46,1.57,2.77,2019
55,John Wall,PG,WSH,32,34.5,2.69,-1.16,1.53,2.32,2019
57,Marcus Smart,PG,BOS,80,27.5,0.55,0.95,1.50,4.48,2019
59,Eric Gordon,SG,HOU,68,31.7,1.80,-0.36,1.45,4.18,2019
61,Spencer Dinwiddie,PG,BKN,68,28.1,1.00,0.42,1.42,3.54,2019
63,Kyle Kuzma,SF,LAL,70,33.1,1.80,-0.40,1.41,4.64,2019
65,Davis Bertans,SF,SA,76,21.5,1.09,0.30,1.39,3.09,2019
67,Terrence Ross,G,ORL,81,26.5,-0.02,1.37,1.35,3.68,2019
69,Clint Capela,C,HOU,67,33.6,-0.04,1.38,1.33,4.18,2019
71,Luol Deng,F,MIN,22,17.8,-0.22,1.48,1.26,0.69,2019
