dataset,d,N,N_lab,model,auroc_mean,auroc_std,delta_vs_supervised,n_seeds
Breast Cancer,30,569,20,Supervised,0.94131,0.01787,+0.00000,10
Breast Cancer,30,569,20,Semi(lam=0.1),0.97575,0.01020,+0.03444,10
Breast Cancer,30,569,20,Semi(lam=1.0),0.96469,0.02294,+0.02338,10
Breast Cancer,30,569,20,Semi(lam=5.0),0.95894,0.03174,+0.01763,10
Breast Cancer,30,569,20,LearnedLambda,0.95287,0.01579,+0.01156,10
Breast Cancer,30,569,20,LocalLambda(a=1),0.96525,0.02305,+0.02394,10
Breast Cancer,30,569,20,LocalLambda(a=2),0.96613,0.02346,+0.02481,10
Breast Cancer,30,569,40,Supervised,0.86869,0.04897,+0.00000,10
Breast Cancer,30,569,40,Semi(lam=0.1),0.97256,0.02148,+0.10388,10
Breast Cancer,30,569,40,Semi(lam=1.0),0.97131,0.01767,+0.10263,10
Breast Cancer,30,569,40,Semi(lam=5.0),0.97081,0.01797,+0.10213,10
Breast Cancer,30,569,40,LearnedLambda,0.95950,0.03416,+0.09081,10
Breast Cancer,30,569,40,LocalLambda(a=1),0.97300,0.01753,+0.10431,10
Breast Cancer,30,569,40,LocalLambda(a=2),0.97338,0.01790,+0.10469,10
Breast Cancer,30,569,80,Supervised,0.96350,0.01742,+0.00000,10
Breast Cancer,30,569,80,Semi(lam=0.1),0.97931,0.01437,+0.01581,10
Breast Cancer,30,569,80,Semi(lam=1.0),0.97637,0.01812,+0.01287,10
Breast Cancer,30,569,80,Semi(lam=5.0),0.97506,0.01974,+0.01156,10
Breast Cancer,30,569,80,LearnedLambda,0.97994,0.01377,+0.01644,10
Breast Cancer,30,569,80,LocalLambda(a=1),0.97644,0.01811,+0.01294,10
Breast Cancer,30,569,80,LocalLambda(a=2),0.97631,0.01827,+0.01281,10
Ionosphere,34,351,20,Supervised,0.93375,0.00963,+0.00000,10
Ionosphere,34,351,20,Semi(lam=0.1),0.95488,0.02102,+0.02113,10
Ionosphere,34,351,20,Semi(lam=1.0),0.95537,0.02697,+0.02163,10
Ionosphere,34,351,20,Semi(lam=5.0),0.95312,0.02742,+0.01937,10
Ionosphere,34,351,20,LearnedLambda,0.95294,0.02833,+0.01919,10
