N_lab,model,auroc_mean,auroc_std,n_seeds
20,SupervisedGMM,0.90364,0.05217,10
20,SemiSup(lam=0.1),0.98244,0.00576,10
20,SemiSup(lam=1.0),0.98044,0.00640,10
20,SemiSup(lam=5.0),0.97944,0.00683,10
20,LocalLambda,0.98032,0.00652,10
40,SupervisedGMM,0.96920,0.02039,10
40,SemiSup(lam=0.1),0.98316,0.01338,10
40,SemiSup(lam=1.0),0.98288,0.00928,10
40,SemiSup(lam=5.0),0.98228,0.00785,10
40,LocalLambda,0.98284,0.00906,10
80,SupervisedGMM,0.98364,0.00929,10
80,SemiSup(lam=0.1),0.98760,0.00843,10
80,SemiSup(lam=1.0),0.98592,0.00722,10
80,SemiSup(lam=5.0),0.98532,0.00656,10
80,LocalLambda,0.98620,0.00720,10
160,SupervisedGMM,0.98652,0.00750,10
160,SemiSup(lam=0.1),0.98644,0.00737,10
160,SemiSup(lam=1.0),0.98460,0.00821,10
160,SemiSup(lam=5.0),0.98532,0.00744,10
160,LocalLambda,0.98448,0.00821,10
320,SupervisedGMM,0.98568,0.00671,10
320,SemiSup(lam=0.1),0.98604,0.00659,10
320,SemiSup(lam=1.0),0.98648,0.00736,10
320,SemiSup(lam=5.0),0.98592,0.00746,10
320,LocalLambda,0.98640,0.00729,10
