rank,name,position,team,games,minutes,off_rpm,def_rpm,rpm,wins,year
1,Stephen Curry,PG,GS,79,33.4,9.25,-1.29,7.96,19.03,2017
3,Chris Paul,PG,LAC,61,31.5,4.88,2.50,7.38,12.50,2017
5,Rudy Gobert,C,UTAH,81,33.9,-0.31,5.74,5.43,13.39,2017
7,Nikola Jokic,C,DEN,73,27.9,5.21,-0.43,4.78,9.68,2017
9,James Harden,SG,HOU,81,36.4,7.89,-3.26,4.62,13.85,2017
11,Malik Beasley,SG,DEN,22,7.5,3.21,1.23,4.44,0.77,2017
13,Patrick Patterson,PF,TOR,65,24.6,0.68,3.51,4.19,6.66,2017
15,Russell Westbrook,PG,OKC,81,34.6,7.89,-4.08,3.81,11.49,2017
17,Nikola Mirotic,F,CHI,70,24.0,1.70,1.88,3.58,6.35,2017
19,Kevin Love,PF,CLE,60,31.4,2.66,0.87,3.53,7.09,2017
21,Jae Crowder,PF,BOS,72,32.4,1.56,1.94,3.49,8.86,2017
23,Kawhi Leonard,SF,SA,74,33.4,3.41,-0.07,3.34,8.79,2017
25,Victor Oladipo,SG,OKC,67,33.2,1.02,2.12,3.14,7.94,2017
27,Joel Embiid,C,PHI,31,25.4,0.58,2.52,3.11,2.81,2017
29,Paul Millsap,PF,ATL,69,34.0,0.49,2.49,2.98,8.08,2017
31,Troy Daniels,G,MEM,67,17.7,1.08,1.81,2.88,3.79,2017
33,Lou Williams,SG,LAL/HOU,81,24.6,5.29,-2.45,2.84,6.79,2017
35,Patty Mills,PG,SA,80,21.9,3.13,-0.38,2.75,5.66,2017
37,Jeremy Lin,G,BKN,36,24.5,3.80,-1.19,2.61,2.98,2017
39,Blake Griffin,PF,LAC,61,34.0,2.29,0.22,2.51,6.38,2017
2,LeBron James,SF,CLE,74,37.8,6.96,0.63,7.59,18.31,2017
4,Kyle Lowry,PG,TOR,60,37.4,4.84,1.23,6.07,12.19,2017
6,Jimmy Butler,SF,CHI,76,37.0,2.21,2.69,4.90,13.11,2017
8,Kevin Durant,PF,GS,62,33.4,5.22,-0.50,4.73,9.85,2017
10,Bradley Beal,SG,WSH,77,34.9,4.37,0.18,4.55,12.15,2017
12,Jared Dudley,SF,PHX,64,21.3,1.53,2.73,4.26,6.10,2017
14,Klay Thompson,SG,GS,78,34.0,3.61,0.37,3.98,11.01,2017
16,Robert Covington,PF,PHI,67,31.6,-0.72,4.32,3.60,8.32,2017
18,Mike Conley,PG,MEM,69,33.2,2.48,1.06,3.55,8.33,2017
20,Jrue Holiday,PG,NO,67,32.7,1.66,1.84,3.51,8.39,2017
22,Draymond Green,PF,GS,76,32.5,0.78,2.68,3.46,9.46,2017
24,Damian Lillard,PG,POR,75,35.9,3.78,-0.60,3.18,9.64,2017
26,Giannis Antetokounmpo,PF,MIL,80,35.6,1.25,1.88,3.13,9.68,2017
28,Marc Gasol,C,MEM,74,34.2,0.78,2.29,3.07,8.34,2017
30,Paul George,F,IND,75,35.9,2.29,0.62,2.91,9.01,2017
32,Myles Turner,C,IND,81,31.4,-0.14,3.01,2.86,8.47,2017
34,Anthony Davis,PF,NO,75,36.1,0.76,2.06,2.82,9.01,2017
36,Jordan Crawford,G,NO,19,23.3,4.58,-1.90,2.68,1.39,2017
38,Eric Gordon,SG,HOU,75,31.0,2.69,-0.12,2.57,7.39,2017
40,Kemba Walker,PG,CHA,79,34.7,1.68,0.83,2.51,8.33,2017
